Issued by Organization,Issued for Organization,Title,Opportunity ID,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Public Safety and Solicitor General,BC Corrections,"Support, Intervention & Outreach Services Kelowna Area",190540,Contract Award Notice,2024-03-12,0,2024-03-12,John Howard Society of Okanagan & Kootenay,"1440 ST. PAUL STREET, KELOWNA, British Columbia","$14,446.77",2024-03-12
Ministry of Public Safety and Solicitor General,Northern/Interior Regional Office - Community Corrections ,SGCORR2515CMX42165,190536,Contract Award Notice,2024-03-12,0,2024-03-12,Connective Kamloops,"100 - 529 SEYMOUR STREET, KAMLOOPS, British Columbia","$34,770.80",2024-03-12
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Security Services -Vancouver Island,188063,Request for Proposal,2024-01-25,2,2024-02-26,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$623,463.75",2024-03-12
Ministry of Transportation and Infrastructure,Provincial Field Services ,"Major Works Construction Supervision, Highway No. 1 Selkirk Mountain 4 Laning",RFP-24583,Request for Proposal,2023-12-14,0,2024-01-22,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$5,000,000.00",2024-03-12
Ministry of Transportation and Infrastructure,South Coast Regional Office ,H1 Colquitz Bridges Widening,17065MJ0001,Invitation to Tender,2024-01-04,2,2024-02-21,POMERLEAU INC.,,"$19,681,186.91",2024-03-12
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Silver Skagit Flood Recovery Program Flood Recovery Works - 10.09KM to 56.7KM,14133MJ0001,Invitation to Tender,2024-01-08,2,2024-02-15,Tuya Construction Ltd.,"16870A Peters Rd , Hope, British Columbia","$7,963,915.53",2024-03-12
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41097 Type II Table Legs,190520,Invitation to Quote,2024-03-12,0,2024-03-12,Raptor Metal Industries Ltd.,"33733 King Rd, Abbotsford, British Columbia","$139,680.00",2024-03-12
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41135 BC - Plastic Lumber Toilet Building,190548,Invitation to Quote,2024-03-12,0,2024-03-12,Wishbone Site Furnishings ,,"$471,631.00",2024-03-12
Procurement Services Branch ,Ministry of Forests,Req 59848 - STAND UP ELECTRIC FORKLIFTS (replaces portion of Opp 5131454),5134499,Invitation to Quote,2024-02-14,0,2024-02-22,Hansler Industries,"851 77 Ave NW, Edmonton, Alberta","$227,340.00",2024-03-12
BC Timber Sales Branch ,Cariboo-Chilcotin ,SU25TLH001 - Regeneration Assessment and Free-Grow Surveys - Various Locations - Quesnel Timber Supply Area.,SU25TLH001,Invitation to Tender,2024-02-14,0,2024-02-28,Erafor Forestry Ltd,"1209 FOURTH AVENUE, PRINCE GEORGE, British Columbia","$194,010.90",2024-03-13
"Ministry of Water, Land and Resource Stewardship","Ministry of Water, Land and Resource Stewardship",Skull Mountain CL Hazard Abatement,187792,Request for Proposal,2024-01-18,0,2024-02-15,NorHaz Solutions Inc,,"$121,590.63",2024-03-13
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41341 QuantStudio 5 real-time PCR system ,5140472,Invitation to Quote,2024-03-12,0,2024-03-12,Life Technologies Inc.,"5250 Mainway, Burlington, Ontario","$151,715.40",2024-03-13
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41211 - ARCHIVE IMAGERY - NICOLA WATERSHED 2024 ALUI,5136377,Invitation to Quote,2024-02-15,0,2024-02-26,EagleView,"140 Fullarton St, Suite 104, London, Ontario","$89,977.26",2024-03-13
BC Timber Sales Branch ,Kootenay ,IM25TFD001 Silviculture Implementation Kootenay Lake,IM25TFD001,Invitation to Tender,2024-02-01,1,2024-02-28,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$60,076.00",2024-03-14
BC Timber Sales Branch ,Kootenay ,SU25TFD006 Silviculture Surveys Kootenay Lake,SU25TFD006,Invitation to Tender,2024-01-18,2,2024-02-15,Forsite Consultants Ltd,,"$94,929.00",2024-03-14
BC Timber Sales Branch ,Prince George ,BR25TGE001 - Manual Brushing in the Mackenzie District,BR25TGE001,Invitation to Tender,2024-01-25,0,2024-02-27,Mihis Silviculture Contracting,", Prince George, British Columbia","$584,002.70",2024-03-14
Ministry of Forests,Resource Operations - Chilliwack ,Davis Lake and Mystery Creek Tree Planting,PL25LMN001,Invitation to Tender,2024-01-25,1,2024-03-07,Zanzibar,"#204 - 1801 WELCH STREET, NORTH VANCOUVER, British Columbia","$135,071.79",2024-03-14
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Surfacing Cherryville Area Side Roads  (51.1 Lane Km),26380MJ0000,Invitation to Tender,2024-02-06,1,2024-02-28,OKANAGAN AGGREGATES LTD.,"1504 Blattner Road, Armstrong, British Columbia","$5,395,596.25",2024-03-14
Procurement Services Branch ,Attorney General,Req 8667 BC Sheriff  Service Training Shirts,190669,Invitation to Quote,2024-03-14,0,2024-03-14,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$36,702.00",2024-03-14
Procurement Services Branch ,Ministry of Citizens' Services,Req 45494 12-month subscription of Vault Platform License V-EN,190404,Invitation to Quote,2024-03-08,0,2024-03-08,"Arctiq, a Benchmark Company","80 Richmond St W, Toronto, Ontario","$131,707.93",2024-03-14
SPO: Executive Office,Ministry of Transportation and Infrastructure,Req 249 Custom Software License and Support:RPMA - a customized version,5134599,Invitation to Quote,2024-03-01,0,2024-03-01,Stantec Consulting Ltd.,"Dunsmuir St 1100-111 , Vancouver, British Columbia","$58,700.00",2024-03-14
BC Timber Sales Branch ,Peace-Liard ,PL25TDE002A Summer Tree Planting in the Dawson Creek TSA,PL25TDE002A,Invitation to Tender,2024-02-02,1,2024-02-21,Dynamic Reforestation,"2367 Fox Mountain Rd, Williams Lake, British Columbia","$1,406,609.38",2024-03-15
Ministry of Transportation and Infrastructure,Northern Regional Office ,Asphalt Surfacing 2024/25 H16 Lasalle to West Twin (45.1 Lane Km),38340MJ0000,Invitation to Tender,2024-02-14,0,2024-02-29,OKANAGAN AGGREGATES LTD.,"1504 Blattner Road, Armstrong, British Columbia","$5,721,700.00",2024-03-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41105 TOTAL STATION HYDROMETRIC EQUIPMENT,5132427,Invitation to Quote,2024-03-07,0,2024-03-07,Cansel,"3526 26 St NE, Calgary, Alberta","$16,995.00",2024-03-15
SPO: Executive Office,Ministry of Transportation and Infrastructure,Req 242 SiteScope per Point SWE-LTU-Business Support(SP-AK419)End,5134488,Invitation to Quote,2024-02-13,0,2024-02-14,Micro Focus Software Solutions Canada Co.,,"$26,524.10",2024-03-15
BC Timber Sales Branch ,Kootenay ,EN24TFG007 Upper Big Sheep FSR Construction,EN24TFG007,Invitation to Tender,2024-02-08,0,2024-03-05,Galena Contractors Ltd,"P.O. Box 2639, Revelstoke, British Columbia","$868,520.00",2024-03-18
Procurement Services Branch ,Ministry of Forests,"Req 59703 - Aluminum Stair, landing, railing sets for use on Fire Camp Trail",5131660,Invitation to Quote,2024-02-05,2,2024-03-06,Carlisle Services Ltd.,"571 Holiday Rd, FANNY BAY, British Columbia","$77,782.35",2024-03-18
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41336 QuantStudio 7 Pro - real time PCR Machine,5140465,Invitation to Quote,2024-03-19,0,2024-03-19,Life Technologies Inc.,"5250 Mainway, Burlington, Ontario","$89,279.60",2024-03-19
Procurement Services Branch ,Ministry of Agriculture and Food,Req 41377 QuantStudio 5 Real-time PCR units,5140576,Invitation to Quote,2024-03-15,0,2024-03-15,Life Technologies Inc.,"5250 Mainway, Burlington, Ontario","$151,712.40",2024-03-19
Procurement Services Branch ,Ministry of Citizens' Services,Req 45525 12-month subscription of JFrog Enterprise plus Artifactor,190648,Invitation to Quote,2024-03-13,0,2024-03-13,"JFrog, Inc","270 E Caribbean Dr, Sunnyvale, California ","$199,640.70",2024-03-19
Procurement Services Branch ,Ministry of Citizens' Services,Req 45556 12-month subscription to Check Point Virtual Firewalls and Check Point Posture Management Software,190646,Invitation to Quote,2024-03-13,0,2024-03-13,MNP Digital,"Suite 2000, 330 5th Ave SW, Calgary, Alberta","$155,326.00",2024-03-19
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41194 BC Parks Type 2 Metal Table Bases,5135426,Invitation to Quote,2024-02-29,0,2024-03-12,Ravenhead Fabrication Services Ltd,"128 B Industrial rd #2, Invermere, British Columbia","$71,295.00",2024-03-19
Procurement Services Branch ,Ministry of Forests,Opp 5132496 Req 59702 REEFER UNIT 53' TRAILER,5132496,Invitation to Quote,2024-02-28,0,2024-03-12,Felix Technology Inc,"270 Drumlin Circle, Concord, Ontario","$627,560.00",2024-03-19
Ministry of Transportation and Infrastructure,Northern Regional Office ,38341MJ0000 - Asphalt Surfacing 2024/25 H37 Onion Lake to JCT with H16 (53.3 Lane Kms),38341MJ0000,Invitation to Tender,2024-02-13,2,2024-03-05,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East , Penticton, British Columbia","$7,135,211.00",2024-03-20
Ministry of Transportation and Infrastructure,South Coast Regional Office ,"Rock Slope Stabilization - Hells Gate Tunnel North Portal Bluff, Hwy 1",86002MJ0232,Invitation to Tender,2024-02-13,1,2024-03-05,Power Drilling and Stabilization Ltd.,"21278 Smith Crescent, Langley, British Columbia","$421,350.00",2024-03-20
Procurement Services Branch ,Ministry of Citizens' Services,Req 45506 12-month subscription of Sysdig - Monitor - Enterprise Cl,5137341,Invitation to Quote,2024-02-21,0,2024-03-04,"Arctiq, a Benchmark Company","80 Richmond St W, Toronto, Ontario","$102,449.01",2024-03-20
Procurement Services Branch ,Ministry of Health,Req 9485 Support and Maintenance for Symphonia Gold,5134520,Invitation to Quote,2024-02-14,0,2024-02-15,Lyniate,"2900 – 595 Burrard Street, Vancouver, British Columbia","$10,373.75",2024-03-20
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 257 Rip Rap Supply and Delivery,5140409,Invitation to Quote,2024-03-08,0,2024-03-19,Blastpro Construction Ltd,,"$81,820.80",2024-03-20
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship","Req 59244 SUN+200-5, 200Ah, Nickel Cadmium Block,1.2 VDCcell1 x SUN+200-5",187745,Invitation to Quote,2024-01-18,0,2024-01-18,SAFT America Inc.,"3 Powdered Metal Dr, North Haven, Connecticut ","$130,776.36",2024-03-20
Procurement Services Branch ,"Ministry of Water, Land and Resource Stewardship","Req 59440 40 strings of SUN+200-5, 200Ah, Nickel Cadmium Block,1.2 VDCcel",191535,Invitation to Quote,2024-03-18,0,2024-03-18,SAFT America Inc.,"3 Powdered Metal Dr, North Haven, Connecticut ","$104,649.60",2024-03-20
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,"Asphalt Surfacing Hwy 22, Hwy 3B and Hwy 3 Trail and Castlegar Areas (45.2 Lane Km)",26378MJ0000,Invitation to Tender,2024-02-15,1,2024-03-06,Terus Construction,"1056 Playmor Rd, Crescent Valley, British Columbia","$7,052,944.95",2024-03-21
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,"Req 41398 BC BID - RSTBC Picnic tables constructed, delivered, and install",5140714,Invitation to Quote,2024-03-20,0,2024-03-20,Turney Carpentry,"5619 Manson Ave, Powell River, British Columbia","$21,250.00",2024-03-21
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 256 Asphalt Core Saw,5138525,Invitation to Quote,2024-03-04,0,2024-03-14,Pothier Enterprises,"#207 5511 192 St, Surrey, British Columbia","$57,960.00",2024-03-21
BC Timber Sales Branch ,Cariboo-Chilcotin ,"SU25TLH002 - Regeneration Assessment, Survival and Free-Growing Surveys – Various Locations – Quesnel & Cascadia Timber Supply Areas.",SU25TLH002,Invitation to Tender,2024-02-26,0,2024-03-08,Blue Collar Silviculture Ltd,"255 Lear Rd, Quesnel, British Columbia","$275,551.25",2024-03-22
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hot-In-Place Recycling Highway 97 Swan Lake to Hanna Road (112.9 Lane Kms),26393MJ0000,Invitation to Tender,2024-02-26,0,2024-03-12,Green Roads Recycling Ltd.,"5277 Highline Dr, Fernie, British Columbia","$8,379,412.25",2024-03-22
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41402 HYRDOMETRIC EQUIPMENT,5140746,Invitation to Quote,2024-03-21,0,2024-03-21,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia","$20,031.00",2024-03-22
Procurement Services Branch ,Ministry of Forests,Req 59764 Accommodation trailers,191928,Invitation to Quote,2024-03-20,0,2024-03-20,Manac Western,", Surrey, British Columbia","$1,386,000.00",2024-03-22
BC Timber Sales Branch ,Prince George ,SP25TGE003 - Mounding Road Rehabilitation and Deactivation in the Mackenzie District,SP25TGE003,Invitation to Tender,2024-02-01,0,2024-03-06,Yus Cho Enterprises,"PO BOX  1771, Fort Saint James , British Columbia","$76,795.79",2024-03-25
BC Timber Sales Branch ,Prince George ,SP25TGE002 - Road Rehabilitation and Deactivation in the Mackenzie District,SP25TGE002,Invitation to Tender,2024-02-06,0,2024-03-13,Yus Cho Enterprises,"PO BOX  1771, Fort Saint James , British Columbia","$64,100.84",2024-03-25
"Ministry of Energy, Mines and Low Carbon Innovation","Ministry of Energy, Mines and Low Carbon Innovation",Energy System Infrastructure Modelling Study,186553,Request for Proposal,2023-12-14,4,2024-02-06,Deloitte INC / Deloitte LLP,"410 W Georgia St, Vancouver, British Columbia","$500,000.00",2024-03-26
Procurement Services Branch ,Ministry of Transportation and Infrastructure,Req 5139592 - Enclosed Snowmobile Trailer / Mobile Command Post Trailer,5139592,Invitation to Quote,2024-03-15,0,2024-03-25,Sunrise Trailer Sales Ltd. ,"100 - 32160 South Fraser Way, Abbotsford, British Columbia","$71,000.00",2024-03-26
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 41292 Cabin Steel Subframe Fabrication,5139391,Invitation to Quote,2024-03-04,0,2024-03-22,DA Metal Fabrication LTD,"20856 76 Ave, Langley Twp, British Columbia","$27,240.00",2024-03-27
Procurement Services Branch ,Procurement Services Branch ,Supply and Delivery of Safes,190399,Request for Proposal,2024-03-08,0,2024-03-19,MGM Security Group Inc,"975 Cormier- Drummondville, QC JCN 2N5","$31,865.00",2024-03-27
Ministry of Health,Ministry of Health,Lifetime Prevention Schedule Economic Modeling,RFPHL2024-014,Request for Proposal,2024-02-02,0,2024-03-04,H. Krueger & Associates Inc.,,"$120,000.00",2024-03-28
Procurement Services Branch ,Ministry of Forests,"Req 60072 - AMSOIL, Saber Professional, Synthetic 2 Stroke Oil",5138522,Invitation to Quote,2024-03-07,0,2024-03-18,Amsoil Inc,"925 Tower Ave, Superior, Wisconsin ","$655,689.60",2024-03-28
