Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
University of British Columbia,,Architect & Consultant Team Services for the provision of Expansion of the existing Chemical and Biological Engineering (CHBE) building,2022010067,Request for Proposal (BPS),2022-08-26,0,,Shape Architecture Incorporated,6190 Agronomy Road,,,"$951,050.00",2022-08-26,
University of British Columbia,,Tenant improvement of a Commercial Retail Unit for UBCs Learning Exchange Program,2022010134,Request for Proposal,2022-09-29,0,,Local Practice Architecture + Design Ltd.,6190 Agronomy Road,,,"$56,855.00",2022-09-29,
University of British Columbia,,Renovation of Level 2 of City Centre 1 for the new Master of Occupational Therapy and Master of Physical Therapy program. ,2022010,Request for Proposal,2022-09-29,0,,Chandos Construction ,,,,"$4,805,078.00",2022-09-29,
Vancouver Coastal Health Authority,,Patient Food Services for VCH,DW-BISS-VCH035,Direct Award,2022-08-25,0,,Sodexo Canada Ltd.,"Sodexo Canada Ltd
5420, North Service Road, Suite 501
Burlington, Ontario L7L 6C7
",,,"$23,700,000.00",2022-07-15,
Vancouver Coastal Health Authority,,Retail Food Services for VGH,DW-BISS-VCH037,Direct Award,2022-08-25,0,,Cafe Ami,"Fostrell Holdings Ltd
3723 West 39th Vancouver
BC V6N 3A6
",,,"$110,000.00",2022-07-19,
Vancouver Coastal Health Authority,,Retail Food Services for VCH,DW-BISS-VCH036,Direct Award,2022-08-25,0,,Sodexo Canada Ltd.,"Sodexo Canada Ltd
5420, North Service Road, Suite 501
Burlington, Ontario L7L 6C7
",,,"$3,100,000.00",2022-07-15,
Vancouver Island Health Authority,,Premise of project is to renovate an existing site to support clinical out patient care. The site will be in an Island Health owned building. Anticipated clinical area approximately 1000sq/ft,VPAHC.22.80001 RFP Construction Manager,Request for Tenders (BPS),2022-09-22,0,,Western Medical Canada,3134 Mutter Td. Mill Bay,,,$0.00,2022-09-22,
Vancouver Island Health Authority,,Electrical contractors to replace existing door access system at West Coast General Hospital.,2035-123 RFT ELECTRICAL CONTRACTORS ,Request for Tenders (BPS),2022-09-22,0,,Paladin Technologies Inc.,"104-4103 97 St. Edmonton, AB",,,"$166,762.25",2022-09-12,
Vancouver Island Health Authority,,Vancouver Island Health Authority (“Island Health”) as it is seeking tenders from qualified bidders to complete a domestic hot water system upgrade at the Saanich Peninsula Hospital l,2008-101 RFT,Request for Tenders (BPS),2022-09-22,0,,ERB Technical Contracting,"111-1753 Sean heights, Saanichton",,,"$665,500.00",2022-08-22,
Vancouver Island Health Authority,,Eagle Creek Village Tenant Improvement,2045,Request for Proposal (BPS),2022-06-10,0,2022-07-14,CGI Constructors,,,,$0.00,2022-07-20,
Vancouver Island Health Authority,,Cairnsmore Place Boiler DHW System Renewal,2035-115 RFT,Request for Tenders (BPS),2022-07-04,0,2022-07-28,Archie Johnstone Plumbing and Heating Ltd,"113 Gava Pl, NANAIMO, British Columbia",,,"$1,170,175.00",2022-08-22,
Vancouver Island University,,Excavators for HEO Program,2344,Negotiated Request for Proposal (BPS),2022-09-21,0,,Inland Truck & Equipment,900 FIFTH ST,,,"$260,830.00",2022-08-09,
Village of Cumberland,,General Engineering & Consulting Service ,2527,Request for Proposal,2022-07-12,0,,ISL Engineering Ltd. ,,,,"$75,000.00",2022-09-12,
,,,,,,,,FaulknerBrowns Architecture Inc,"608-318 Homer Street
Vancouver, BC V6B 2V2",,,,,
,,,,,,,,Upanup Studios Inc. ,,,,,,
,,,,,,,,Mallen Gowing Berzins Architecture Inc.,"7 E 6th Ave #300, Vancouver, BC V5T 1J3",,,,,
,,,,,,,,DIALOG,"406 - 611 Alexander Street
Vancouver, BC V6A 1E1",,,,,
,,,,,,,,Francl Architecture,"970 Homer Street
Vancouver, BC V6B 2W7",,,,,
,,,,,,,,studiohub architects Ltd.,"1727 West 3rd Ave.
Vancouver, BC V6J 1K7",,,,,
,,,,,,,,Kasian Architecture Interior Design + Planning,"1500 West Georgia, Suite 1685
Vancouver, BC V6G 2T1",,,,,
,,,,,,,,MIZA Architects Inc,"303 - 2425 Quebec St
Vancouver, BC V5T 4L6",,,,,
,,,,,,,,IREDALE ARCHITECTURE,"220-12 Water Street
Vancouver, BC V6B 1A5",,,,,
,,,,,,,,Mallen Gowing Berzins Architecture Inc.,"300 – 7 East 6th Avenue
Vancouver, BC V5T 1J3",,,,,
,,,,,,,,Omicron Architecture Engineering Construction Ltd.,"595 Burrard Street
Vancouver, British Columbia V7X 1L4",,,,,
,,,,,,,,PJS Systems,"131 E Columbia St, New Westminster, BC V3L 3V9",,,,,
,,,,,,,,JACK CEWE CONSTRUCTION LTD,,,,,,
,,,,,,,,BEL Contracting,,,,,,
,,,,,,,,RMI Communications Ltd.,,,,,,
,,,,,,,,METRO MOTORS LTD.,,,,,,
,,,,,,,,The Cat Rental Store,"1714 Kalamalka Road, Vernon BC V1T 6M4",,,,,
,,,,,,,,The Cat Rental Store,"1714 Kalamalka Road, Vernon BC V1T 6M4",,,,,
,,,,,,,,Penticton Nissan,"151 Satikw Crescent, Penticton, BC  V2A 6J7",,,,,
,,,,,,,,superior excavating,"6789 Thorne Rd., Peachland, British Columbia, Canada, v0h1x9",,,,,
,,,,,,,,Cabin Resource Management,"20A 100 Kalamalka Lake Rd, Vernon, BC V1T 9G1",,,,,
,,,,,,,,West X Business Solutions Inc.,"1050-1075 West Georgia St, Vancouver, BC",,,,,
,,,,,,,,Safetek Emergency Vehicles Ltd.,"30686-A Matsqui Place, Abbotsford, BC V2T 6L4",,,,,
,,,,,,,2022-08-02,Tri-Kon Precast Products,"601 Patterson St W, Cranbrook, British Columbia",,,,,
,,,,,,,2022-09-12,Highway Three Solutions Ltd.,"1081 FORT ST., Victoria, British Columbia",,,,,
,,,,,,,2022-07-06,Vivid Solutions,"2328 Government St, Victoria, British Columbia",,,,,
,,,,,,,2022-06-30,Ralph's Radio Ltd.,"1490 Venables St, Vancouver, British Columbia",,,,,
,,,,,,,2022-08-15,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia",,,,,
,,,,,,,,CP Packaging Corp,"1A-464 Fraser View Place, Delta, BC, V3M 6H4",,,,,
,,,,,,,,Talius,"5501-46th Avenue, Salmon Arm, BC",,,,,
,,,,,,,2022-07-26,Bandstra Transportation Systems Ltd.,"P.O. BOX 95, SMITHERS, British Columbia",,,,,
,,,,,,,,Stokes Economics,,,,,,
,,,,,,,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,"1175 Douglas St, Victoria, British Columbia",,,,,
,,,,,,,,Zeidler Architecture,,,,,,
,,,,,,,,OXD,,,,,,
,,,,,,,2022-08-29,Microserve,"280 - 4400 Dominion St, Burnaby, British Columbia",,,,,
,,,,,,,2022-09-02,Island Key Computer LTD,"938 Howe St, Vancouver, British Columbia",,,,,
,,,,,,,2022-08-24,iFathom Corp,"306 - 788 Beatty St., Vancouver, British Columbia",,,,,
,,,,,,,2022-07-29,Zeidler Architecture,"1981 Main Street, Vancouver, British Columbia",,,,,
,,,,,,,2022-09-12,Highway Three Solutions Ltd.,"1081 FORT ST., Victoria, British Columbia",,,,,
,,,,,,,2022-09-02,TELUS,,,,,,
,,,,,,,2022-08-29,ARVITA TRADE,"464 - 5525 WEST BOULEVARD, VANCOUVER, British Columbia",,,,,
,,,,,,,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,"1175 Douglas St, Victoria, British Columbia",,,,,
,,,,,,,,ECORA ENGINEERING & RESOURCE GROUP LTD.,,,,,,
,,,,,,,2022-08-15,Tropospheric Measurement Systems Inc.,"7500 Hector Road, Port Alberni, British Columbia",,,,,
,,,,,,,2022-08-08,FYPM Holdings Inc.,"11756 Morris Street, Maple Ridge, British Columbia",,,,,
,,,,,,,2022-08-15,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia",,,,,
,,,,,,,2022-09-06,Air Liquide Canada,"929 Ellery St, Victoria, British Columbia",,,,,
,,,,,,,2022-08-02,Tri-Kon Precast Products,"601 Patterson St W, Cranbrook, British Columbia",,,,,
,,,,,,,2022-06-24,Wishbone Site Furnishings ,"210 - 27090 Gloucester Way, Langley, British Columbia",,,,,
,,,,,,,2022-06-24,Leko Precast Ltd,"9538-HWY 97 NORTH, VERNON, British Columbia",,,,,
,,,,,,,2022-07-14,Pan-Abode International,"330 522 SEVENTH STREET, NEW WESTMINSTER, British Columbia",,,,,
,,,,,,,,West Coast Mechanical Ltd,"West Coast Mechanical Ltd.
4 - 769 Merecroft Road
Campbell River, BC V9W 8H6",,,,,
,,,,,,,2022-06-29,Mammoth Forestry Ltd.,"Site 14 Comp 26 RR1 Stn Main, Fort St John, British Columbia",,,,,
,,,,,,,2022-07-15,Northstar Seed Ltd.,,,,,,
,,,,,,,2022-06-21,FAST Limited,"8850 River Rd, Delta, British Columbia",,,,,
,,,,,,,2022-06-24,FAST Limited,"8850 River Rd, Delta, British Columbia",,,,,
,,,,,,,2022-08-05,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia",,,,,
,,,,,,,2022-08-05,Toosey Old School Wood Products L.P.,,,,,,
,,,,,,,2022-09-02,PGSG Hercules Inc,"15144 Southwest Fwy, Sugar Land, Texas ",,,,,
,,,,,,,2022-08-22,TEAL-JONES GROUP,"17897 Triggs Road, Surrey, British Columbia",,,,,
,,,,,,,2022-08-11,Robert Nakagawa,"39 - 3405 Plateau Blvd, Coquitlam, British Columbia",,,,,
,,,,,,,,Cascadia Partners,"420 – 1090 Homer St., Vancouver, BC, V6B 2W9",,,,,
,,,,,,,2022-07-25,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS INC.,"1175 Douglas St, Victoria, British Columbia",,,,,
,,,,,,,,Westech Drilling Corp.,"13695 Beaverley Road East
Prince George, British Columbia
V2N 6L5",,,,,
,,,,,,,,Weaver Digital Design and Storytelling,"350 Windermere Place, Victoria BC V8S 3J3",,,,,
,,,,,,,2022-09-09,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia",,,,,
,,,,,,,2022-06-30,Ralph's Radio Ltd.,"1490 Venables St, Vancouver, British Columbia",,,,,
,,,,,,,2022-06-30,Rogers for Business,"1900 4710 Kingsway, BURNABY, British Columbia",,,,,
,,,,,,,,Nelson Roofing & Sheet Metal Ltd.,"3132 Grant Road, Cumberland BC ",,,,,
,,,,,,,2022-09-02,Island Key Computer LTD,"938 Howe St, Vancouver, British Columbia",,,,,
,,,,,,,2022-08-29,Microserve,"280 - 4400 Dominion St, Burnaby, British Columbia",,,,,
,,,,,,,2022-09-02,TELUS,,,,,,
,,,,,,,2022-08-29,ARVITA TRADE,"464 - 5525 WEST BOULEVARD, VANCOUVER, British Columbia",,,,,
,,,,,,,,Okanagan Mountain Helicopters LTD,PO Box 23151 Plaza 33 Kelowna BC V1X 7K7,,,,,
,,,,,,,,"Powerland, a Xerox Business Solutions Company","170 Marion St
Winnipeg, MB R2H 0T4",,,,,
,,,,,,,2022-09-12,Highway Three Solutions Ltd.,"1081 FORT ST., Victoria, British Columbia",,,,,
,,,,,,,,Leica Microsystems (Canada) Inc.,"71 Four Valley Drive
Concord, ON L4K 4V8",,,,,
,,,,,,,,Insight Canada Inc,"5410 Decarie Blvd
Montreal, Quebec
H3X 4B2",,,,,
,,,,,,,,Grosso Precast & Crane Service,"4665 Collier Place, Williams Lake, BC V2G 2V5",,,,,
,,,,,,,,Google Cloud Corporation Canada,"1959 Upper Water St, Unit 900
Halifax, NS B3J 3N2",,,,,
,,,,,,,,Arvita Trade,,,,,,
,,,,,,,,Hoskins Scientific,"3735 Myrtle Street
Burnaby, British Columbia
V5C 4E7
Canada",,,,,
,,,,,,,,Atlantic Industries Limited,,,,,,
,,,,,,,,CAMPBELL SCIENTIFIC,"14532 131 Avenue NW
Edmonton AB T5L 4X4
",,,,,
,,,,,,,,Accenture,"510 W Georgia St Suite 2075 
Vancouver, British Columbia V6B 0M3 ",,,,,
,,,,,,,,"Upland Software, Inc.","401 Congress Ave Ste 1850
Austin, TX 78701-3788
United States",,,,,
,,,,,,,,Pacwill Environmental,"4516 Mountainview Road, Unit# 4
Beamsville ON, L3J 1T1",,,,,
,,,,,,,,Pacwill Environmental,"4516 Mountainview Road, Unit# 4
Beamsville ON, L3J 1T1",,,,,
,,,,,,,,Carahsoft Technology Corporation,"11493 Sunset Hills Road, Ste 100
Reston, VA United States 
20191-5230",,,,,
,,,,,,,,Spatial Technologies,"10 - 3671 Viking Way
Richmond, BC V6V 2J5",,,,,
,,,,,,,,Highway Three Inc.,"1-1407 GOVERNMENT ST
VICTORIA BC V8W 1Z1",,,,,
,,,,,,,,MNP,"Suite 2200 - 1021 W Hastings Street W259-4000 SEYMOUR PL
Vancouver, BC V6E 0C3",,,,,
,,,,,,,2022-08-17,InHealth Canada,,,,,,
,,,,,,,2022-08-02,Chair Stuff Sales,,,,,,
,,,,,,,2022-08-02,Cardinal Health Canada,,,,,,
,,,,,,,2022-07-19,Tetra Tech Canada Inc.,,,,,,
,,,,,,,,Pharmascience Inc,"6111 Royalmount Avenue, Suite 100
Montreal, Quebec, H4P 2T4",,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Turning Point Technology Services,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,GRM Inc. ,,,,,,
,,,,,,,,GRM Inc. ,N/A,,,,,
,,,,,,,,Pfizer Canada ULC,"17300 Trans-Canada Highway, Kirkland, Quebec, H9J 2M5",,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,AstraZeneca Canada Inc.,"1004 Middlegate Road, Mississauga, Ontario, L4Y 1M4",,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Sudden Technologies,,,,,,
,,,,,,,,Service First Ltd.,,,,,,
,,,,,,,,COOK,"1 - 165 Mostart Street
Stouffville, Ontario",,,,,
,,,,,,,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ont",,,,,
,,,,,,,,Stryker Canada ULC,"8329 Eastlake Dr #101
Burnaby, BC
V5A 4W2",,,,,
,,,,,,,,FAV COM,,,,,,
,,,,,,,,Queo Systems Ltd,,,,,,
,,,,,,,,Terumo Medical Canada Inc,"Terumo BCT (Canada), Inc.
4 Robert Speck Pkwy, Suite 1500
Toronto, Ontario
L4Z 1S1",,,,,
,,,,,,,,Philips Healthcare Canada,"281 Hillmount Rd, Markam, ON L6C 2S3",,,,,
,,,,,,,,"Picis Clinical Solutions, Inc.","Picis Clinical Solutions, Inc.
100 Quannapowitt Parkway,
Suite 405
Wakefield, MA 01880. U.S.A",,,,,
,,,,,,,,Agilent Technologies Canada Inc.,"6705 Millcreek Drive, Unit 5
Mississauga, Ontario L5N 5M4",,,,,
,,,,,,,,"CooperSurgical,  Inc.","95 Corporate Drive
Trumbull  CT  06611 U.S.A.",,,,,
,,,,,,,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ontario",,,,,
,,,,,,,,COOK,"1 - 165 Mostar Street
Stouffville, Ontario",,,,,
,,,,,,,,Alcon Canada Inc.,"2665 Meadowpine Boulevard
Mississauga, Ontario
L5N 8C7",,,,,
,,,,,,,,COOK,"1 - 165 Mostart Street
Stouffville, Ontario",,,,,
,,,,,,,,Boston Scientific,"6430 Vipond Drive
Mississauga, Ontario",,,,,
,,,,,,,,Boston Scientific,"6430 Vipond Drive
Mississauga",,,,,
,,,,,,,,3M Canada Company,"300 Tartan Drive
London, Ontario
N5G 4MP",,,,,
,,,,,,,,3M Canada Company,"300 Tartan Drive
London, Ontario
N5G 4MP",,,,,
,,,,,,,,Pfizer Canada ULC,"17300 Trans-Canada Highway
Kirkland, Quebec
H9J 2M5",,,,,
,,,,,,,,"Zoom Video Communications , Inc","600-55 Almaden Boulevard, San Jose, CA 95113",,,,,
,,,,,,,,Bard Canada,"2100 Derry Road West Suite 100
Mississauga, Ontario",,,,,
,,,,,,,,Teva Canada Innovation G.P.-S.E.N.C.,"1200 - 1080 Côte du Beaver Hall, Montreal, Quebec, H2Z 1S8",,,,,
,,,,,,,,Organon Canada Inc.,"16766 Trans Canada Highway #300, Kirkland, Quebec, H9H 4M7",,,,,
,,,,,,,,AMT Electrosurgery Inc.,"16-20 Steckle Place
Kitchener  ON  N2E 2C3",,,,,
,,,,,,,,United Therapeutics Corporation,"1040 Spring Street, Silver Spring, Maryland 20910",,,,,
,,,,,,,,ESC Automation Inc,"5265 185A St.
Surrey, BC  
V3S 7A4 
",,,,,
,,,,,,,,AECOM Canada Ltd.,,,,,,
,,,,,,,,Flury Earthworks Ltd,,,,,,
,,,,,,,,ROLLINS MACHINERY,,,,,,
,,,,,,,2022-09-09,Alpha Design,"2795 Pooley Ave, Merritt, British Columbia",,,,,
,,,,,,,2022-08-22,TEAL-JONES GROUP,"17897 Triggs Road, Surrey, British Columbia",,,,,
,,,,,,,,S.i. Systems Partnership,,,,,,
,,,,,,,,Waters Limited,"232  Britannia  Road  East
Mississauga,  ON
L4Z  1S6
",,,,,
,,,,,,,,Alpha Educational & Technological,"Unit 112, 930 – 3025 Lougheed HWY, Coquitlam, BC, V3B 6S2, Canada",,,,,
,,,,,,,,Superior City Services Ltd.,,,,,,
,,,,,,,,Division 15 Mechanical Ltd. ,6190 Agronomy Road,,,,,
,,,,,,,,CMLabs Simulations Inc,6190 Agronomy Road,,,,,
,,,,,,,,Shape Architecture Incorporated,6190 Agronomy Road,,,,,
,,,,,,,,Local Practice Architecture + Design Ltd.,6190 Agronomy Road,,,,,
,,,,,,,,Chandos Construction ,,,,,,
,,,,,,,,Sodexo Canada Ltd.,"Sodexo Canada Ltd
5420, North Service Road, Suite 501
Burlington, Ontario L7L 6C7
",,,,,
,,,,,,,,Cafe Ami,"Fostrell Holdings Ltd
3723 West 39th Vancouver
BC V6N 3A6
",,,,,
,,,,,,,,Sodexo Canada Ltd.,"Sodexo Canada Ltd
5420, North Service Road, Suite 501
Burlington, Ontario L7L 6C7
",,,,,
,,,,,,,,Western Medical Canada,3134 Mutter Td. Mill Bay,,,,,
,,,,,,,,Paladin Technologies Inc.,"104-4103 97 St. Edmonton, AB",,,,,
,,,,,,,,ERB Technical Contracting,"111-1753 Sean heights, Saanichton",,,,,
,,,,,,,2022-07-14,CGI Constructors,,,,,,
,,,,,,,2022-07-28,Archie Johnstone Plumbing and Heating Ltd,"113 Gava Pl, NANAIMO, British Columbia",,,,,
,,,,,,,,Inland Truck & Equipment,900 FIFTH ST,,,,,
,,,,,,,,ISL Engineering Ltd. ,,,,,,
